setpoint,current_value,drive_signal
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
20,18.93,18.94
20,19.11,19.12
20,19.26,19.27
20,19.39,19.39
20,19.49,19.49
20,19.58,19.58
20,19.65,19.65
20,19.71,19.71
20,19.76,19.76
20,19.8,19.8
20,19.83,19.83
20,19.86,19.86
20,19.88,19.88
20,19.9,19.9
20,19.92,19.92
20,19.93,19.93
20,19.94,19.94
20,19.95,19.95
20,19.96,19.96
20,19.97,19.97
20,19.97,19.97
20,19.98,19.98
20,19.98,19.98
20,19.98,19.98
20,19.99,19.99
20,19.99,19.99
20,19.99,19.99
20,19.99,19.99
20,19.99,19.99
20,19.99,19.99
20,20,20
20,20,20
20,20,20
20,20,20
20,20,20
20,20,20
20,20,20
20,20,20
20,20,20
20,20,20
20,20,20
20,20,20
